empresa,producto,sentimiento,comentario,fecha_hora,clean_comentario,texto_limpio,score_sentimiento,hora,hora_redondeada
Apple,MacBook Air,neutral,"MacBook Air cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-16 13:00:00,macbook air cumple con lo bsico nada sorprendente pero funciona,macbook air cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-16T13:00:00.000000,2025-04-16T13:00:00.000000
Apple,MacBook Air,neutral,He tenido más problemas que beneficios con el MacBook Air de Apple.,2025-04-19 11:00:00,he tenido ms problemas que beneficios con el macbook air de apple,tenido ms problemas que beneficios con el macbook air de apple,0.0,2025-04-19T11:00:00.000000,2025-04-19T11:00:00.000000
Nvidia,GeForce NOW,neutral,Malísimo el GeForce NOW de Nvidia. No lo recomiendo. 👎,2025-04-16 23:00:00,malsimo el geforce now de nvidia no lo recomiendo,malsimo el geforce de nvidia lo recomiendo,0.0,2025-04-16T23:00:00.000000,2025-04-16T23:00:00.000000
Nike,Air Max,neutral,Vi muchas reseñas del Air Max de Nike. Opiniones divididas.,2025-04-19 08:00:00,vi muchas reseas del air max de nike opiniones divididas,vi muchas reseas del air max de nike opinione dividida,0.0,2025-04-19T08:00:00.000000,2025-04-19T08:00:00.000000
Apple,MacBook Air,neutral,No puedo creer lo bien que funciona el MacBook Air de Apple. Recomendado. 💯,2025-04-16 17:00:00,no puedo creer lo bien que funciona el macbook air de apple recomendado,puedo creer lo bien que funciona el macbook air de apple recomendado,0.0,2025-04-16T17:00:00.000000,2025-04-16T17:00:00.000000
Nike,Jordan Retro,neutral,"Ya van 3 veces que falla el Jordan Retro. ¿Qué pasa, Nike?",2025-04-17 06:00:00,ya van 3 veces que falla el jordan retro qu pasa nike,ya van vece que falla el jordan retro qu pasa nike,0.0,2025-04-17T06:00:00.000000,2025-04-17T06:00:00.000000
Coinbase,Earn,neutral,"Ya van 3 veces que falla el Earn. ¿Qué pasa, Coinbase?",2025-04-18 13:00:00,ya van 3 veces que falla el earn qu pasa coinbase,ya van vece que falla el earn qu pasa coinbase,0.0,2025-04-18T13:00:00.000000,2025-04-18T13:00:00.000000
Meta,Threads,neutral,"Meta, ¿qué les pasó con el Threads? Está lleno de fallas. 😤",2025-04-20 02:00:00,meta qu les pas con el threads est lleno de fallas,meta qu les pas con el threads est lleno de fallas,0.0,2025-04-20T02:00:00.000000,2025-04-20T02:00:00.000000
Coinbase,Earn,negativo,"Coinbase se la rifó con el Earn, está brutal 😍",2025-04-17 20:00:00,coinbase se la rif con el earn est brutal,coinbase se la rif con el earn est brutal,-0.6249,2025-04-17T20:00:00.000000,2025-04-17T20:00:00.000000
Meta,Threads,neutral,La mejor inversión que he hecho este año es Threads de Meta. 🔥,2025-04-19 07:00:00,la mejor inversin que he hecho este ao es threads de meta,la mejor inversin que hecho este ao es thread de meta,0.0,2025-04-19T07:00:00.000000,2025-04-19T07:00:00.000000
Nvidia,DLSS 3.5,neutral,El DLSS 3.5 de Nvidia no vale lo que cuesta. 😡,2025-04-18 13:00:00,el dlss 35 de nvidia no vale lo que cuesta,el dlss de nvidia vale lo que cuesta,0.0,2025-04-18T13:00:00.000000,2025-04-18T13:00:00.000000
Binance,Binance App,neutral,No puedo creer lo bien que funciona el Binance App de Binance. Recomendado. 💯,2025-04-16 10:00:00,no puedo creer lo bien que funciona el binance app de binance recomendado,puedo creer lo bien que funciona el binance app de binance recomendado,0.0,2025-04-16T10:00:00.000000,2025-04-16T10:00:00.000000
Binance,Launchpad,negativo,"Binance se la rifó con el Launchpad, está brutal 😍",2025-04-18 22:00:00,binance se la rif con el launchpad est brutal,binance se la rif con el launchpad est brutal,-0.6249,2025-04-18T22:00:00.000000,2025-04-18T22:00:00.000000
Meta,Facebook Ads,neutral,Nunca volveré a comprar un Facebook Ads de Meta. Estafa total.,2025-04-15 09:00:00,nunca volver a comprar un facebook ads de meta estafa total,nunca volver comprar un facebook ads de meta estafa total,0.0,2025-04-15T09:00:00.000000,2025-04-15T09:00:00.000000
Meta,Oculus Quest,neutral,"Desde que uso Oculus Quest, soy más feliz. Gracias Meta! 😊",2025-04-17 17:00:00,desde que uso oculus quest soy ms feliz gracias meta,desde que uso oculus quest soy ms feliz gracias meta,0.0,2025-04-17T17:00:00.000000,2025-04-17T17:00:00.000000
Nvidia,RTX 4090,neutral,Nunca volveré a comprar un RTX 4090 de Nvidia. Estafa total.,2025-04-16 12:00:00,nunca volver a comprar un rtx 4090 de nvidia estafa total,nunca volver comprar un rtx de nvidia estafa total,0.0,2025-04-16T12:00:00.000000,2025-04-16T12:00:00.000000
